 X Translation (mm), Y Translation (mm), Z Translation (mm), 
0.000807845,3.004275512,-0.65603997, 
0.000807845,1.923767515,-2.627868229, 
-0.477572514,1.923767515,-4.90463774, 
-0.477572514,1.665712032,-5.843217506, 
0.705185317,1.665712032,-3.590336626, 
0.705185317,1.928936064,-3.818466925, 
1.688272043,1.928936064,0.441534123, 
1.688272043,2.759784494,-1.407185724, 
1.988900805,2.759784494,2.254556736, 
1.988900805,3.801744534,0.893653149, 
2.112107217,3.801744534,4.288961612, 
2.112107217,4.155087351,2.116906177, 
2.166319115,4.155087351,5.413276715, 
2.166319115,4.070292426,2.913490877, 
2.143362418,4.070292426,5.29340179, 
2.143362418,3.204924948,1.77721887, 
1.321074783,3.204924948,1.813641857, 
1.321074783,2.246332568,-1.475095397, 
0.53573978,2.246332568,-2.605580257, 
0.53573978,2.005034465,-3.635330943, 
1.73820487,2.005034465,-0.300370546, 
1.73820487,2.658121743,-2.263010392, 
2.318170106,2.658121743,2.766616451, 
2.318170106,3.154542201,0.058740113, 
2.330532366,3.154542201,4.111225537, 
2.330532366,3.961571134,1.828557612, 
2.926500211,3.961571134,5.465128289, 
2.926500211,4.12462113,2.22013116, 
2.948644328,4.12462113,6.491376116, 
2.948644328,4.091406292,3.090972741, 
2.422057736,4.091406292,6.463033972, 
2.422057736,3.963218839,3.072609577, 
2.321187661,3.963218839,5.37301074, 
2.321187661,3.593166328,1.784380121, 
1.666654695,3.593166328,1.324389594, 
1.666654695,2.508457485,-1.358504078, 
2.271354041,2.508457485,1.674246094, 
2.271354041,2.993417249,-0.569843391, 
2.804639341,2.993417249,3.357999874, 
2.804639341,3.947357743,1.133637818, 
2.117644326,3.947357743,5.044865104, 
2.117644326,4.065353402,2.057891917, 
2.878540476,4.065353402,6.41623284, 
2.878540476,4.774308344,3.023718224, 
2.852342617,4.774308344,7.374141357, 
2.852342617,4.246315861,3.224179961, 
2.409311594,4.246315861,7.703860259, 
2.409311594,4.183138535,4.006329783, 
2.413875184,4.183138535,8.729486267, 
2.413875184,4.184342546,4.274974599, 
2.268950875,4.184342546,6.796206003, 
2.268950875,3.880633942,3.254082403, 
2.350643559,3.880633942,4.086028982, 
2.350643559,2.161463315,-0.099468622, 
1.20876395,2.161463315,-0.353478248, 
1.20876395,2.108721615,-2.530800836, 
2.023042043,2.108721615,1.042011761, 
2.023042043,3.073572152,-1.213389204, 
2.184116091,3.073572152,3.007805398, 
2.184116091,4.002028229,1.053765426, 
2.13035694,4.002028229,4.014766659, 
2.13035694,4.07402858,1.282304301, 
2.122015828,4.07402858,5.360760404, 
2.122015828,4.184677904,2.277440168, 
2.165719773,4.184677904,6.430313283, 
2.165719773,4.053684423,3.112940268, 
2.047891257,4.053684423,5.293790761, 
2.047891257,3.049366806,1.786992062, 
0.678122037,3.049366806,0.606794254, 
0.678122037,1.928171933,-1.600127173, 
-0.212509962,1.928171933,-4.624501755, 
-0.212509962,1.052848664,-5.679215554, 
1.872369711,1.052848664,-1.216301908, 
1.872369711,2.610337105,-2.529530626, 
2.229433644,2.610337105,2.873933961, 
2.229433644,3.996866884,1.155883675, 
2.105292173,3.996866884,5.236156542, 
2.105292173,4.303436507,2.832302046, 
1.995169765,4.303436507,5.241107407, 
1.995169765,3.315867318,2.080782603, 
0.661498858,3.315867318,0.825526715, 
0.661498858,1.960822889,-1.635824684, 
-0.484083871,1.960822889,-3.938750287, 
-0.484083871,0.861867821,-6.024665913, 
0.764180207,0.861867821,-3.648615165, 
0.764180207,1.834521491,-4.825952635, 
1.924871024,1.834521491,-0.321073554, 
1.924871024,2.886403368,-2.295186002, 
2.074641991,2.886403368,2.276988907, 
2.074641991,3.882973142,0.792711081, 
2.225115334,3.882973142,4.354385562, 
2.225115334,4.224933319,2.128280157, 
2.277369314,4.224933319,5.530491114, 
2.277369314,4.238401808,2.799949389, 
2.884013394,4.238401808,5.698668098, 
2.884013394,3.845784604,2.867929487, 
1.679841964,3.845784604,3.005069741, 
1.679841964,2.122415073,-0.443698285, 
0.00602921,2.122415073,-2.430967582, 
0.00602921,0.928473328,-4.054359184, 
1.19414483,0.928473328,-1.352548867, 
1.19414483,2.53739073,-2.721047467, 
1.966380195,2.53739073,1.548751231, 
1.966380195,3.234003566,-0.408867522, 
2.129774557,3.234003566,3.477198274, 
2.129774557,4.248387047,2.03173359, 
2.091763509,4.248387047,5.383262338, 
2.091763509,4.293543064,2.942879489, 
2.15588403,4.293543064,6.506269187, 
2.15588403,4.22486634,4.003208637, 
2.104137591,4.22486634,7.431668321, 
2.104137591,4.292459091,3.451747078, 
2.131590318,4.292459091,6.604276428, 
2.131590318,4.127682241,4.023997404, 
0.983172126,4.127682241,4.080301754, 
0.983172126,3.00365803,1.798406139, 
-0.000363934,3.00365803,-0.634433529, 
-0.000363934,2.190554383,-1.767369153, 
1.074536897,2.190554383,-0.087520746, 
1.074536897,3.050219899,-1.625962101, 
1.31642401,3.050219899,0.946785095, 
1.31642401,3.751719047,-0.438360722, 
1.325503975,3.751719047,2.099444074, 
1.325503975,3.929703905,-0.065223757, 
1.823032787,3.929703905,3.161906841, 
1.823032787,4.1294584,1.871998238, 
1.966210593,4.1294584,5.234027531, 
1.966210593,4.869402221,2.686618866, 
2.023345522,4.869402221,5.65057896, 
2.023345522,4.998664742,3.455583625, 
1.882589466,4.998664742,6.483096107, 
1.882589466,4.249326252,3.31667234, 
0.98596835,4.249326252,4.322003789, 
0.98596835,3.715791389,1.962559859, 
-0.306787933,3.715791389,-0.231616018, 
-0.306787933,2.754227965,-1.286005745, 
-1.325486783,2.754227965,-4.779730846, 
-1.325486783,2.698609187,-4.004734994, 
-1.083757239,2.698609187,-5.139128971, 
-1.083757239,2.742009867,-3.962316577, 
0.164455959,2.742009867,-1.735304042, 
0.164455959,2.896760165,-1.700770941, 
1.077628335,2.896760165,1.68398764, 
1.077628335,3.748073267,0.458933505, 
1.163663808,3.748073267,3.296929139, 
1.163663808,4.364035045,2.180771912, 
1.722391934,4.364035045,5.112500151, 
1.722391934,4.873168372,2.940251052, 
1.812960719,4.873168372,5.516973464, 
1.812960719,4.904692917,3.210300863, 
0.69530593,4.904692917,4.118967842, 
0.69530593,3.234815485,1.93098234, 
-0.581232827,3.234815485,0.05997493, 
-0.581232827,2.010563548,-0.47246082, 
-1.402133312,2.010563548,-4.672478807, 
-1.402133312,2.750989152,-3.670921994, 
-0.160988167,2.750989152,-1.720015734, 
-0.160988167,2.69113172,-1.697016425, 
0.917263796,2.69113172,1.594296641, 
0.917263796,3.196405962,0.670086336, 
1.142908646,3.196405962,2.929171613, 
1.142908646,3.924057887,1.707986195, 
1.314310233,3.924057887,4.536494589, 
1.314310233,4.237335757,2.938246976, 
1.780417837,4.237335757,5.483195615, 
1.780417837,4.880867687,3.256463927, 
1.828784792,4.880867687,6.404365183, 
1.828784792,4.339760416,3.332642393, 
1.116476365,4.339760416,5.356828448, 
1.116476365,3.84820007,2.97542016, 
-0.389986872,3.84820007,-1.15642914, 
-0.389986872,1.606610764,-4.638374176, 
-6.003149118,1.606610764,-1.379655819, 
-6.003149118,1.84509501,-8.597921553, 
-4.788492992,1.84509501,-0.046804622, 
-4.788492992,1.964210223,-5.94970832, 
-0.412679167,1.964210223,-4.884236388, 
-0.412679167,1.741969674,-5.961420142, 
-0.249244644,1.741969674,-4.707574881, 
-0.249244644,1.679771603,-5.923692832, 
-0.327210364,1.679771603,-5.09223623, 
-0.327210364,1.681030137,-6.101755635, 
-0.052871377,1.681030137,-4.883953667, 
-0.052871377,1.669289819,-6.12899446, 
0.86128345,1.669289819,-1.567733049, 
0.86128345,2.643446361,-2.583601986, 
1.246006797,2.643446361,1.576775166, 
1.246006797,3.155219305,-0.180012574, 
1.611822851,3.155219305,3.286039259, 
1.611822851,3.892393779,1.799967126, 
1.246532186,3.892393779,4.1382544, 
1.246532186,3.849547256,2.052570529, 
0.747528795,3.849547256,2.909746515, 
0.747528795,2.849210747,0.654975369, 
-0.330291171,2.849210747,-0.490377668, 
-0.330291171,1.92062936,-2.365358094, 
-1.182160769,1.92062936,-4.735053525, 
-1.182160769,1.883820302,-3.6984797, 
0.14603494,1.883820302,-1.320282825, 
0.14603494,2.027383573,-2.286755326, 
0.907535878,2.027383573,1.743219267, 
0.907535878,2.88275871,0.114553942, 
1.150766897,2.88275871,2.904908722, 
1.150766897,3.149012097,1.692862732, 
1.148277199,3.149012097,3.950435859, 
1.148277199,3.762806916,1.82770106, 
1.228998511,3.762806916,4.078956706, 
1.228998511,3.924061126,2.205005641, 
0.943916814,3.924061126,4.007981846, 
0.943916814,3.313842738,2.02920095, 
-0.080857048,3.313842738,2.014701859, 
-0.080857048,2.737348345,0.717475135, 
-1.604941666,2.737348345,-2.805790113, 
-1.604941666,1.845011872,-3.63328253, 
-2.230468942,1.845011872,-5.031588248, 
-2.230468942,1.905894432,-3.695726568, 
-0.222497922,1.905894432,-1.176940936, 
-0.222497922,2.058762155,-0.372025472, 
0.604090898,2.058762155,2.03429861, 
0.604090898,3.258556934,1.795437481, 
0.884791993,3.258556934,4.010909358, 
0.884791993,4.100432195,3.033097022, 
0.932620082,4.100432195,5.169616481, 
0.932620082,4.199652359,3.249995762, 
1.097964826,4.199652359,5.391404698, 
1.097964826,4.287459268,3.288811407, 
1.064894182,4.287459268,5.364219332, 
1.064894182,4.274621974,3.251967214, 
1.029029199,4.274621974,5.33077378, 
1.029029199,4.300121662,3.036879435, 
1.643934344,4.300121662,5.402454314, 
1.643934344,4.302186984,3.888724537, 
1.705969844,4.302186984,5.651609334, 
1.705969844,4.924558539,3.439563461, 
1.855805473,4.924558539,6.554652646, 
1.855805473,5.146837209,4.078006327, 
1.878947956,5.146837209,7.640900613, 
1.878947956,5.129359703,4.397270539, 
1.873593608,5.129359703,8.541715084, 
1.873593608,5.147613039,4.211302581, 
1.851135641,5.147613039,6.58726825, 
1.851135641,5.016753883,4.119300756, 
1.009144365,5.016753883,6.347330632, 
1.009144365,5.042463379,3.334465737, 
0.995575271,5.042463379,5.159004356, 
0.995575271,4.910032608,2.263224629, 
1.261401368,4.910032608,5.536789444, 
1.261401368,4.310174297,3.261493286, 
1.809034791,4.310174297,5.817067229, 
1.809034791,4.938242392,3.401344663, 
1.205231458,4.938242392,6.611027415, 
1.205231458,4.960070878,3.303093206, 
0.893866517,4.960070878,4.287390899, 
0.893866517,3.907985855,2.843950728, 
-0.204592936,3.907985855,0.705804882, 
-0.204592936,2.089704614,-1.452136202, 
-1.092199724,2.089704614,-4.788508821, 
-1.092199724,1.80539169,-4.659400944, 
0.649834408,1.80539169,-2.130119869, 
0.649834408,2.794797061,-3.261577723, 
1.193904463,2.794797061,1.698028402, 
1.193904463,4.126401682,0.675873134, 
1.142606209,4.126401682,4.221845296, 
1.142606209,4.901992404,2.256168823, 
1.730783065,4.901992404,5.608009126, 
1.730783065,4.392095265,3.289877293, 
0.90165081,4.392095265,4.18654892, 
0.90165081,3.073575908,0.985977187, 
-0.403121084,3.073575908,-1.450091345, 
-0.403121084,1.683716305,-3.540064032, 
-1.481128501,1.683716305,-7.04326535, 
-1.481128501,1.720984371,-6.128088216, 
-0.161554607,1.720984371,-3.752895414, 
-0.161554607,2.072923984,-3.7168942, 
0.806374394,2.072923984,0.694049789, 
0.806374394,3.686225906,0.495951393, 
0.981876491,3.686225906,3.346889716, 
0.981876491,4.341303432,2.180039923, 
1.097474646,4.341303432,5.479712138, 
1.097474646,4.924814534,3.128028737, 
1.069210428,4.924814534,5.62515171, 
1.069210428,4.218148159,3.239796455, 
0.707179277,4.218148159,2.73116542, 
0.707179277,2.761761876,-0.289443899, 
-0.273903253,2.761761876,-1.67448612, 
-0.273903253,1.812618083,-3.7893753, 
0.138569361,1.812618083,-2.373105927, 
0.138569361,2.597951911,-2.68630069, 
1.002313013,2.597951911,0.754801892, 
1.002313013,3.173086879,-0.527750257, 
0.976025517,3.173086879,3.237704608, 
0.976025517,4.238145355,2.135096936, 
1.038091154,4.238145355,5.277753657, 
1.038091154,4.33590464,3.08440267, 
1.146799197,4.33590464,5.65532412, 
1.146799197,5.018873006,3.974779959, 
1.793259866,5.018873006,6.592505538, 
1.793259866,5.026541586,4.058789554, 
1.815209345,5.026541586,6.687817128, 
1.815209345,4.959247901,4.085701694, 
1.134339438,4.959247901,6.593052841, 
1.134339438,4.182293214,3.462464962, 
0.900610261,4.182293214,3.300227615, 
0.900610261,2.94302509,0.61179603, 
-0.017725509,2.94302509,-0.498579518, 
-0.017725509,2.59626944,-1.598565778, 
0.930801564,2.59626944,0.677799554, 
0.930801564,3.220581697,-0.33597616, 
1.054474275,3.220581697,3.191329266, 
1.054474275,4.116395949,1.276975178, 
1.007350462,4.116395949,5.134450387, 
1.007350462,4.417766383,2.872362078, 
1.138541054,4.417766383,6.391624997, 
1.138541054,4.931995359,2.992689396, 
1.166808548,4.931995359,6.565943181, 
1.166808548,5.136230841,4.031792551, 
1.180983829,5.136230841,7.597937563, 
1.180983829,5.088994144,3.983477528, 
1.118995908,5.088994144,9.884487362, 
1.118995908,5.100906607,4.133657908, 
1.112079541,5.100906607,8.674076238, 
1.112079541,5.018368241,4.890093927, 
0.877167677,5.018368241,7.283625064, 
0.877167677,3.274798873,2.140639705, 
-0.16785044,3.274798873,0.661858375, 
-0.16785044,2.758489192,-1.172200745, 
0.549087041,2.758489192,-0.334921421, 
0.549087041,3.205969139,-1.339068952, 
0.775679088,3.205969139,2.8988193, 
0.775679088,4.334699816,1.064850948, 
0.797858135,4.334699816,4.148461979, 
0.797858135,4.961562392,1.989009505, 
1.018301038,4.961562392,5.392566729, 
1.018301038,4.940630383,2.265557448, 
1.114787051,4.940630383,6.55906978, 
1.114787051,5.036698474,3.978722596, 
1.904866349,5.036698474,6.624666752, 
1.904866349,5.116049752,3.196400294, 
1.277245219,5.116049752,6.756887366, 
1.277245219,4.996036548,3.366512743, 
1.044450263,4.996036548,7.635855446, 
1.044450263,4.221769307,5.115167557, 
-0.066298357,4.221769307,5.171088783, 
-0.066298357,3.674962028,1.923814256, 
-1.260623076,3.674962028,-1.450292263, 
-1.260623076,1.913370629,-2.675169876, 
-0.129158107,1.913370629,-1.654205295, 
-0.129158107,3.815336756,-1.401265773, 
0.875294899,3.815336756,3.373911859, 
0.875294899,4.877345143,2.735538089, 
0.850859901,4.877345143,5.210220033, 
0.850859901,4.290348082,2.194454673, 
1.177101386,4.290348082,5.634426744, 
1.177101386,4.989121561,3.79133138, 
1.737902889,4.989121561,6.533604591, 
1.737902889,4.218855262,4.041103373, 
1.042326814,4.218855262,7.646774558, 
1.042326814,4.13643035,3.426313663, 
0.925196371,4.13643035,6.270239687, 
0.925196371,3.766253403,1.89571399, 
-0.407309742,3.766253403,-0.468748009, 
-0.407309742,1.792121078,-2.76970717, 
-1.329417612,1.792121078,-4.884060305, 
-1.329417612,1.753936149,-5.026396725, 
-0.004620651,1.753936149,-0.50403394, 
-0.004620651,3.087719508,-0.684979834, 
0.721536853,3.087719508,3.020900623, 
0.721536853,4.251188158,1.821554759, 
0.985354997,4.251188158,5.449805283, 
0.985354997,4.4229801,3.232198526, 
0.851473052,4.4229801,7.498050952, 
0.851473052,4.25040259,4.15459827, 
0.951041298,4.25040259,8.767639412, 
0.951041298,4.955592877,4.182294388, 
0.690913617,4.955592877,7.332363325, 
0.690913617,3.845715498,3.032403511, 
-0.327336759,3.845715498,0.675233426, 
-0.327336759,2.028875582,-1.162919026, 
-2.256527522,2.028875582,-2.793741925, 
-2.256527522,1.955153954,-3.627593984, 
-0.163792155,1.955153954,-0.442238732, 
-0.163792155,3.071089171,-0.314074975, 
0.830648133,3.071089171,3.124123116, 
0.830648133,4.239777481,2.074714324, 
0.87070917,4.239777481,5.378876663, 
0.87070917,4.401762504,3.33785951, 
0.954361931,4.401762504,6.520299362, 
0.954361931,4.776419935,4.284605236, 
0.828515969,4.776419935,5.45238715, 
0.828515969,3.8111146,2.993337727, 
-1.01897731,3.8111146,1.760951558, 
-1.01897731,2.228229607,-0.125137827, 
-1.579362171,2.228229607,-3.576565134, 
-1.579362171,1.734814644,-4.517498892, 
-1.185937006,1.734814644,-2.730659816, 
-1.185937006,2.197971426,-2.428909506, 
-0.074110967,2.197971426,0.823330052, 
-0.074110967,3.80683617,0.905679525, 
0.710053343,3.80683617,4.037695976, 
0.710053343,4.853723752,2.979968494, 
0.876821857,4.853723752,4.410745567, 
0.876821857,4.317938169,4.155007267, 
0.91798733,4.317938169,5.328796487, 
0.91798733,4.201316779,4.089463108, 
-0.048194019,4.201316779,2.825211302, 
-0.048194019,2.850912696,0.952778738, 
-1.35721088,2.850912696,-2.595512023, 
-1.35721088,1.828184149,-2.875214453, 
-1.210356491,1.828184149,-3.693292836, 
-1.210356491,2.628124388,-2.691106759, 
-0.12299701,2.628124388,-0.126487133, 
-0.12299701,3.125320418,0.51464846, 
0.705016455,3.125320418,2.069699502, 
0.705016455,4.120251191,1.853854997, 
0.95762241,4.120251191,4.296447047, 
0.95762241,4.891874555,3.200219589, 
0.843609026,4.891874555,5.248913655, 
0.843609026,4.185959738,4.133850446, 
-0.064880207,4.185959738,4.230491274, 
-0.064880207,3.15739752,3.128916117, 
-2.127885808,3.15739752,0.521607398, 
-2.127885808,2.69735394,-1.066022757, 
-2.450802352,2.69735394,-4.007585991, 
-2.450802352,1.82149712,-3.947063768, 
-2.451709337,1.82149712,-6.057310125, 
-2.451709337,1.918991482,-4.877309939, 
-1.245455213,1.918991482,-2.66909427, 
-1.245455213,2.773135241,-2.439056867, 
-0.163676665,2.773135241,-0.217126897, 
-0.163676665,2.903530523,-1.15072586, 
-0.053488679,2.903530523,1.871797477, 
-0.053488679,3.827664152,1.002129164, 
0.110621257,3.827664152,3.978036639, 
0.110621257,4.186884251,2.421754185, 
0.186069551,4.186884251,5.298958264, 
0.186069551,4.874000994,3.413842318, 
0.960374223,4.874000994,5.445711174, 
0.960374223,4.249161829,4.185063543, 
0.732716498,4.249161829,5.198028422, 
0.732716498,4.118046214,3.287967629, 
-0.303392841,4.118046214,2.130370033, 
-0.303392841,2.86343318,0.814242455, 
-1.300679603,2.86343318,-2.456509284, 
-1.300679603,1.828579215,-2.602438074, 
-0.098072608,1.828579215,-0.43705568, 
-0.098072608,2.76178897,-1.153139461, 
0.73362494,2.76178897,1.99132738, 
0.73362494,3.166750834,0.902835143, 
0.814376287,3.166750834,3.255334423, 
0.814376287,4.158771948,2.334838825, 
0.892499556,4.158771948,5.31908507, 
0.892499556,4.367477453,3.23378904, 
0.920999835,4.367477453,5.566949614, 
0.920999835,4.971362806,4.103640726, 
1.015166601,4.971362806,6.499777606, 
1.015166601,4.227336357,4.278524295, 
1.103813025,4.227336357,7.698862144, 
1.103813025,5.003100089,4.339790092, 
1.042080562,5.003100089,8.756011732, 
1.042080562,4.34741847,4.469788211, 
1.080463452,4.34741847,8.742753828, 
1.080463452,5.104587287,4.515357447, 
1.094593009,5.104587287,8.770460288, 
1.094593009,5.162199476,5.269144326, 
1.08761148,5.162199476,7.665526493, 
1.08761148,5.10758169,4.443204614, 
0.95653707,5.10758169,6.4725621, 
0.95653707,4.122005149,3.319397113, 
0.870700208,4.122005149,4.006686723, 
0.870700208,3.992154106,2.057707024, 
1.026878852,3.992154106,6.230781421, 
1.026878852,4.910576867,3.950351777, 
0.985045328,4.910576867,8.483943725, 
0.985045328,4.276500011,4.401228556, 
0.199248812,4.276500011,9.850665517, 
0.199248812,4.998452162,4.396711606, 
1.130523498,4.998452162,9.776063632, 
1.130523498,4.274297793,5.081933855, 
1.062101841,4.274297793,7.633953062, 
