 X Translation (mm), Y Translation (mm), Z Translation (mm),,,,,,, 
-0.72263953,-0.748664107,-0.071215227,,,,,,, 
-0.812098565,-0.748664107,-0.001290065,,,,,,, 
-0.812098565,-1.172565875,0.186775655,,,,,,, 
-0.890035648,-1.172565875,0.170196724,,,,,,, 
-0.890035648,-0.692354959,0.605665932,,,,,,, 
-0.858335612,-0.692354959,0.316109251,,,,,,, 
-0.858335612,-1.114283192,0.229920385,,,,,,, 
-0.936233768,-1.114283192,-0.653077554,,,,,,, 
-0.936233768,-0.886134298,-1.156946833,,,,,,, 
-0.729021602,-0.886134298,-2.365434684,,,,,,, 
-0.729021602,-1.306658249,-3.535955864,,,,,,, 
-0.560834196,-1.306658249,-4.22235766,,,,,,, 
-0.560834196,-0.889288216,-3.350528666,,,,,,, 
-0.723792717,-0.889288216,-1.657290574,,,,,,, 
-0.723792717,-1.167314941,-0.940165879,,,,,,, 
-0.862402727,-1.167314941,-0.241770604,,,,,,, 
-0.862402727,-0.820140981,0.278365872,,,,,,, 
-0.828130001,-0.820140981,0.172737585,,,,,,, 
-0.828130001,-1.008633959,0.257417807,,,,,,, 
-0.898615835,-1.008633959,0.195470109,,,,,,, 
-0.898615835,-0.822330965,-0.54113588,,,,,,, 
-0.7447724,-0.822330965,-1.42732995,,,,,,, 
-0.7447724,-1.284973999,-2.75550135,,,,,,, 
-0.578675342,-1.284973999,-3.620119621,,,,,,, 
-0.578675342,-1.05188136,-4.549374314,,,,,,, 
-0.435984609,-1.05188136,-3.35586387,,,,,,, 
-0.435984609,-1.0812959,-1.730663488,,,,,,, 
-0.823357451,-1.0812959,-1.07743292,,,,,,, 
-0.823357451,-0.999213492,-0.072344577,,,,,,, 
-0.732349947,-0.999213492,-0.027667383,,,,,,, 
-0.732349947,-0.85250556,0.489045265,,,,,,, 
-0.823478239,-0.85250556,0.143255647,,,,,,, 
-0.823478239,-0.92981965,0.509721638,,,,,,, 
-0.752145982,-0.92981965,0.295387809,,,,,,, 
-0.752145982,-0.667733688,0.677986884,,,,,,, 
-0.93733646,-0.667733688,-0.798948244,,,,,,, 
-0.93733646,-1.109742574,-1.33817476,,,,,,, 
-0.580166992,-1.109742574,-2.815931829,,,,,,, 
-0.580166992,-0.994829789,-3.595848909,,,,,,, 
-0.533198663,-0.994829789,-4.627648572,,,,,,, 
-0.533198663,-1.084620082,-4.144282286,,,,,,, 
-0.6218058,-1.084620082,-2.241602445,,,,,,, 
-0.6218058,-0.89970677,-0.764183167,,,,,,, 
-0.925051268,-0.89970677,-0.612710798,,,,,,, 
-0.925051268,-1.20582483,0.125742084,,,,,,, 
-0.855193792,-1.20582483,0.058892538,,,,,,, 
-0.855193792,-0.764945054,0.542414447,,,,,,, 
-0.970056584,-0.764945054,0.290909907,,,,,,, 
-0.970056584,-1.149710331,0.524726517,,,,,,, 
-0.851631067,-1.149710331,0.042440824,,,,,,, 
-0.851631067,-0.869254483,-0.185415676,,,,,,, 
-0.841470914,-0.869254483,-1.441931684,,,,,,, 
-0.841470914,-1.409261663,-2.798848996,,,,,,, 
-0.570083484,-1.409261663,-3.71047278,,,,,,, 
-0.570083484,-1.130586132,-4.58735703,,,,,,, 
-0.480543462,-1.130586132,-4.528977934,,,,,,, 
-0.480543462,-1.180295146,-3.175010116,,,,,,, 
-0.731181785,-1.180295146,-1.510367757,,,,,,, 
-0.731181785,-0.909957688,-0.716371534,,,,,,, 
-0.971032698,-0.909957688,-0.182947175,,,,,,, 
-0.971032698,-1.269184822,-0.033375277,,,,,,, 
-0.895527538,-1.269184822,0.14782497,,,,,,, 
-0.895527538,-0.758172134,0.521495458,,,,,,, 
-0.938003283,-0.758172134,0.075775978,,,,,,, 
-0.938003283,-1.324120349,-1.09377849,,,,,,, 
-0.792808975,-1.324120349,-2.244557591,,,,,,, 
-0.792808975,-0.938604187,-3.340636399,,,,,,, 
-0.489452676,-0.938604187,-4.278242207,,,,,,, 
-0.489452676,-1.565041789,-5.616328394,,,,,,, 
-0.39881122,-1.565041789,-4.458252775,,,,,,, 
-0.39881122,-0.503187247,-2.536365392,,,,,,, 
-0.842264466,-0.503187247,-1.269503086,,,,,,, 
-0.842264466,-1.12126239,-1.014618822,,,,,,, 
-0.870601206,-1.12126239,-0.335995368,,,,,,, 
-0.870601206,-0.79619557,0.039615471,,,,,,, 
-0.858793564,-0.79619557,0.105160133,,,,,,, 
-0.858793564,-1.096043509,0.195709511,,,,,,, 
-0.89753391,-1.096043509,-0.045890602,,,,,,, 
-0.89753391,-0.731617447,-0.801852672,,,,,,, 
-0.793862657,-0.731617447,-2.028226442,,,,,,, 
-0.793862657,-1.420809125,-3.456910663,,,,,,, 
